essence1,essence2,essence3,confluence,restricted
Flesh,Iron,Myriad,Cyborg,TRUE
Flesh,Myriad,Technology,Cyborg,TRUE
Flesh,Magic,Water,Cyborg,TRUE
Death,Flesh,Iron,Cyborg,TRUE
Flesh,Iron,Technology,Cyborg,TRUE
Flesh,Might,Technology,Cyborg,TRUE
Balance,Light,Renewal,Cycle,FALSE
Renewal,Sun,Water,Dawn,FALSE
Dark,Light,Sun,Dawn,FALSE
Fire,Omen,Sun,Dawn,FALSE
Hunger,Locust,Plant,Desolate,FALSE
Blood,Hunger,Locust,Desolate,FALSE
Bone,Dust,Sun,Desolate,FALSE
Cold,Hammer,Sickle,Desolate,FALSE
Sand,Sun,Wind,Desolate,FALSE
Earth,Ice,Wind,Desolate,FALSE
Death,Hunger,Plant,Desolate,FALSE
Bow,Corrupt,Song,Discordant,FALSE
Blood,Dark,Sin,Doom,FALSE
Blood,Dark,Omen,Doom,FALSE
Blood,Corrupt,Potent,Doom,FALSE
Death,Potent,Void,Doom,FALSE
Blood,Corrupt,Flesh,Doom,FALSE
Blight,Smoke,Venom,Doom,FALSE
Death,Potent,Vast,Doom,FALSE
Death,Dimension,Zeal,Doom,FALSE
Moon,Omen,Sun,Doom,FALSE
Growth,Hunger,Void,Doom,FALSE
Balance,Omen,Sin,Doom,FALSE
Dark,Hunger,Void,Doom,FALSE
Corrupt,Feast,Growth,Doom,FALSE
Hunger,Magic,Mirror,Doppelganger,FALSE
Flesh,Magic,Mirror,Doppelganger,FALSE
Magic,Might,Wing,Dragon,FALSE
Magic,Potent,Wing,Dragon,FALSE
Balance,Dark,Light,Eclipse,FALSE
Balance,Moon,Sun,Eclipse,FALSE
Balance,Omen,Zeal,Eclipse,FALSE
Balance,Death,Life,Eclipse,FALSE
Dimension,Moon,Sun,Eclipse,FALSE
Earth,Trowel,Vast,Edifice,FALSE
Rune,Star,Tree,Effigy,FALSE
Dance,Glass,Visage,Effigy,FALSE
Blood,Dark,Shimmer,Effigy,FALSE
Magic,Might,Swift,Empower,FALSE
Blood,Growth,Hunger,Empower,FALSE
Might,Renewal,Sin,Empower,FALSE
Elemental,Lightning,Sword,Empower,FALSE
Frog,Hunger,Void,Empower,FALSE
Elemental,Hunger,Potent,Empower,FALSE
Balance,Hunger,Magic,Empower,FALSE
Lightning,Swift,Sword,Empower,FALSE
Balance,Blood,Rune,Empower,FALSE
Cat,Magic,Sun,Empower,FALSE
Crystal,Magic,Sword,Empower,FALSE
Flesh,Growth,Potent,Empower,FALSE
Blood,Hunger,Might,Empower,FALSE
Cat,Fungus,Renewal,Fertile,FALSE
Magic,Pure,Visage,Fey,FALSE
Bird,Fire,Wind,Firebird,FALSE
Magic,Potent,Shield,Force,FALSE
Adept,Magic,Might,Force,FALSE
Balance,Might,Potent,Force,FALSE
Iron,Lightning,Technology,Forge,FALSE
Fire,Iron,Water,Forge,FALSE
Fire,Iron,Technology,Forge,FALSE
Bird,Fire,Iron,Forge,FALSE
Fire,Hammer,Iron,Forge,FALSE
Earth,Iron,Shield,Fortress,FALSE
Bird,Might,Swift,Garuda,FALSE
Might,Swift,Wing,Garuda,FALSE
Dimension,Myriad,Rune,Gate,FALSE
Dimension,Magic,Void,Gate,FALSE
Dimension,Magic,Rune,Gate,FALSE
Fire,Mirror,Venom,Glimeron,FALSE
Earth,Hair,Snake,Gorgon,FALSE
Bird,Cat,Might,Griffin,FALSE
Magic,Shield,Void,Guardian,FALSE
Shield,Trap,Void,Guardian,FALSE
Claw,Malign,Song,Harpy,FALSE
Bird,Discord,Song,Harpy,FALSE
Discord,Song,Wing,Harpy,FALSE
Axe,Hunt,Plant,Harvest,FALSE
Earth,Plant,Sickle,Harvest,FALSE
Myriad,Renewal,Snake,Hydra,FALSE
Life,Magic,Renewal,Immortal,FALSE
Growth,Might,Renewal,Immortal,FALSE
Blood,Potent,Renewal,Immortal,FALSE
Might,Swift,Vehicle,Juggernaut,FALSE
Iron,Might,Swift,Juggernaut,FALSE
Balance,Magic,Rune,Karmic,FALSE
Omen,Rune,Star,Karmic,FALSE
Deep,Myriad,Potent,Kraken,FALSE
Might,Octopus,Vast,Kraken,FALSE
Deep,Might,Octopus,Kraken,FALSE
Fish,Vast,Water,Leviathan,FALSE
Deep,Might,Vast,Leviathan,FALSE
Harmonic,Plant,Water,Lotus,FALSE
Plant,Sword,Water,Lotus,FALSE
Armour,Magic,Technology,Magitech,FALSE
Lightning,Magic,Technology,Magitech,FALSE
Cat,Spike,Venom,Manticore,FALSE
Foot,Knife,Swift,Master,FALSE
Adept,Gathering,Gun,Master,FALSE
Adept,Iron,Technology,Master,FALSE
Adept,Bow,Swift,Master,FALSE
Adept,Myriad,Sword,Master,FALSE
Adept,Dance,Sword,Master,FALSE
Adept,Fire,Hammer,Master,FALSE
Adept,Needle,Thread,Master,FALSE
Adept,Foot,Hand,Master,FALSE
Adept,Dance,Whip,Master,FALSE
Adept,Gun,Swift,Master,FALSE
Adept,Gun,Hand,Master,FALSE
Dance,Song,Sword,Master,FALSE
Adept,Knife,Smoke,Master,FALSE
Adept,Magic,Sword,Master,FALSE
Cloth,Needle,Thread,Master,FALSE
Adept,Swift,Sword,Master,FALSE
Adept,Cloth,Needle,Master,FALSE
Dance,Sword,Thread,Master,FALSE
Adept,Thread,Whip,Master,FALSE
Adept,Fire,Iron,Master,FALSE
Adept,Magic,Potent,Master,FALSE
Life,Pure,Renewal,Ministration,FALSE
Cattle,Might,Trap,Minotaur,FALSE
Cattle,Hunt,Might,Minotaur,FALSE
Fire,Light,Water,Mirage,FALSE
Sun,Vast,Water,Mirage,FALSE
Sand,Sun,Visage,Mirage,FALSE
Earth,Growth,Might,Monolith,FALSE
Magic,Might,Staff,Mystic,FALSE
Magic,Omen,Vast,Mystic,FALSE
Magic,Sword,Wind,Mystic,FALSE
Balance,Swift,Wind,Mystic,FALSE
Balance,Dimension,Harmonic,Mystic,FALSE
Iron,Might,Serene,Mystic,FALSE
Dark,Knowledge,Pure,Mystic,FALSE
Dark,Song,Vast,Mystic,FALSE
Adept,Water,Wind,Mystic,FALSE
Balance,Swift,Sword,Mystic,FALSE
Harmonic,Knowledge,Pure,Mystic,FALSE
Balance,Hand,Iron,Mystic,FALSE
Blood,Renewal,Sword,Mystic,FALSE
Cloud,Vast,Void,Nebula,FALSE
Balance,Mirror,Void,Nemesis,FALSE
Earth,Sand,Water,Oasis,FALSE
Vast,Vehicle,Water,Ocean,FALSE
Bow,Gathering,Myriad,Onslaught,FALSE
Might,Swift,Wind,Onslaught,FALSE
Growth,Renewal,Zeal,Onslaught,FALSE
Gun,Might,Vehicle,Onslaught,FALSE
Gun,Vehicle,Wind,Onslaught,FALSE
Might,Potent,Vast,Onslaught,FALSE
Growth,Might,Zeal,Onslaught,FALSE
Adept,Might,Potent,Onslaught,FALSE
Might,Potent,Swift,Onslaught,FALSE
Hand,Might,Swift,Onslaught,FALSE
Adept,Might,Swift,Onslaught,FALSE
Fire,Gun,Vehicle,Onslaught,FALSE
Gun,Might,Potent,Onslaught,FALSE
Myriad,Vast,Visage,Phantasmagoria,FALSE
Fire,Renewal,Wing,Phoenix,FALSE
Bow,Dark,Hunt,Predatory,FALSE
Bow,Hunt,Trap,Predatory,FALSE
Spear,Spider,Wing,Predatory,FALSE
Bow,Spider,Trap,Predatory,FALSE
Chain,Iron,Myriad,Prison,FALSE
Shield,Trap,Vast,Prison,FALSE
Cage,Rune,Trap,Prison,FALSE
Cage,Lightning,Myriad,Prison,FALSE
Gathering,Iron,Might,Prison,FALSE
Feast,Foot,Rabbit,Prosperity,FALSE
Balance,Renewal,Rune,Prosperity,FALSE
Magic,Rune,Vast,Prosperity,FALSE
Growth,Omen,Sun,Prosperity,FALSE
Growth,Renewal,Shield,Prosperity,FALSE
Adept,Balance,Renewal,Prosperity,FALSE
Balance,Echo,Ice,Refracting,FALSE
Bird,Needle,Song,Resonating,FALSE
Crystal,Harmonic,Serene,Resonating,FALSE
Echo,Swift,Wind,Resonating,FALSE
Bird,Might,Vast,Roc,FALSE
Blood,Dimension,Goat,Sacrifice,TRUE
Hunger,Knife,Sun,Sacrifice,TRUE
Dimension,Knife,Sin,Sacrifice,TRUE
Knowledge,Paper,Serene,Scribe,FALSE
Hand,Paper,Rune,Scribe,FALSE
Fire,Iron,Snake,Serpent,FALSE
Fire,Snake,Wind,Serpent,FALSE
Fire,Snake,Water,Serpent,FALSE
Paper,Sword,Visage,Simulacrum,FALSE
Adept,Bow,Hunt,Skirmish,FALSE
Moon,Star,Sun,Sky,FALSE
Star,Sun,Vast,Sky,FALSE
Cloud,Swift,Wind,Sky,FALSE
Swift,Vehicle,Wind,Soaring,FALSE
Bird,Swift,Wind,Soaring,FALSE
Ship,Water,Wind,Soaring,FALSE
Flesh,Magic,Thread,Sovereign,FALSE
Dark,Sin,Water,Sovereign,FALSE
Adept,Potent,Sceptre,Sovereign,FALSE
Adept,Balance,Potent,Sovereign,FALSE
Dark,Star,Sun,Stellar,FALSE
Lightning,Potent,Wind,Storm,FALSE
Deep,Vast,Wind,Storm,FALSE
Fire,Potent,Wind,Storm,FALSE
Lightning,Magic,Wind,Storm,FALSE
Cloud,Crystal,Wind,Storm,FALSE
Dust,Ice,Wind,Storm,FALSE
Hammer,Lightning,Rune,Storm,FALSE
Fire,Gun,Lightning,Storm,FALSE
Sand,Vast,Wind,Storm,FALSE
Earth,Fire,Wind,Storm,FALSE
Flesh,Sin,Visage,Succubus,TRUE
Hunger,Magic,Sin,Succubus,TRUE
Bat,Rabbit,Rat,Swarm,FALSE
Dark,Fire,Rat,Swarm,FALSE
Fire,Venom,Wasp,Swarm,FALSE
Potent,Venom,Wasp,Swarm,FALSE
Duck,Flea,Foot,Swarm,FALSE
Blood,Myriad,Wing,Swarm,FALSE
Magic,Paper,Rune,Talisman,FALSE
Bird,Lightning,Vast,Thunderbird,FALSE
Dimension,Vast,Void,Time,FALSE
Balance,Dimension,Swift,Time,FALSE
Balance,Moon,Water,Tranquil,FALSE
Corrupt,Death,Serene,Tranquil,FALSE
Serene,Tree,Vast,Tranquil,FALSE
Deer,Earth,Hammer,Transfiguration,FALSE
Bear,Growth,Hand,Transfiguration,FALSE
Adept,Elemental,Magic,Transfiguration,FALSE
Balance,Earth,Iron,Transfiguration,FALSE
Flesh,Growth,Water,Transfiguration,FALSE
Bird,Mouse,Whale,Transfiguration,FALSE
Hunt,Moon,Wolf,Transfiguration,FALSE
Blood,Fire,Iron,Transfiguration,FALSE
Axe,Bear,Moon,Transfiguration,FALSE
Hunger,Moon,Wolf,Transfiguration,FALSE
Balance,Fire,Ice,Transfiguration,FALSE
Death,Dimension,Magic,Transgression,FALSE
Blood,Might,Renewal,Troll,FALSE
Moon,Omen,Wind,Twilight,FALSE
Dark,Light,Moon,Twilight,FALSE
Corrupt,Dance,Flesh,Undeath,TRUE
Death,Magic,Sand,Undeath,TRUE
Blood,Death,Spider,Undeath,TRUE
Bone,Corrupt,Dance,Undeath,TRUE
Blood,Death,Duck,Undeath,TRUE
Death,Flesh,Hunger,Undeath,TRUE
Blood,Death,Wolf,Undeath,TRUE
Blood,Death,Snake,Undeath,TRUE
Blood,Death,Hunger,Undeath,TRUE
Bone,Corrupt,Flesh,Undeath,TRUE
Bat,Blood,Death,Undeath,TRUE
Blood,Death,Visage,Undeath,TRUE
Blood,Corrupt,Dark,Undeath,TRUE
Blood,Bone,Corrupt,Undeath,TRUE
Blood,Dark,Death,Undeath,TRUE
Blood,Death,Sin,Undeath,TRUE
Blood,Death,Moon,Undeath,TRUE
Blood,Death,Hunt,Undeath,TRUE
Mirror,Myriad,Technology,Unity,FALSE
Earth,Plant,Vast,Verdant,FALSE
Earth,Shovel,Water,Verdant,FALSE
Earth,Plant,Rake,Verdant,FALSE
Duck,Iron,Vast,Vessel,FALSE
Balance,Blood,Hunger,Vessel,FALSE
Balance,Life,Needle,Vessel,FALSE
Technology,Vehicle,Wind,Vessel,FALSE
Knowledge,Technology,Vast,Vessel,FALSE
Cloud,Growth,Vehicle,Vessel,FALSE
Iron,Sin,Wind,Vessel,FALSE
Gathering,Magic,Star,Vessel,FALSE
Death,Vehicle,Water,Vessel,FALSE
Rat,Swift,Water,Vessel,FALSE
Dimension,Vast,Vehicle,Vessel,FALSE
Balance,Blood,Crystal,Vessel,FALSE
Duck,Iron,Visage,Vessel,FALSE
Crystal,Magic,Potent,Vessel,FALSE
Dark,Omen,Serene,Vision,FALSE
Eye,Magic,Mirror,Vision,FALSE
Earth,Fire,Potent,Volcano,FALSE
Earth,Fire,Vast,Volcano,FALSE
Shark,Water,Wind,Vortex,FALSE
Trap,Void,Wind,Vortex,FALSE
Deep,Vast,Void,Vortex,FALSE
Corrupt,Dimension,Void,Vortex,FALSE
Dimension,Hunger,Void,Vortex,FALSE
Feast,Magic,Void,Vortex,FALSE
Dark,Void,Wind,Vortex,FALSE
Dance,Needle,Thread,Weave,FALSE
Harmonic,Myriad,Omen,Weave,FALSE
Dance,Myriad,Thread,Weave,FALSE
Flesh,Hunger,Might,Wendigo,TRUE
Balance,Blood,Might,Wrath,FALSE
Might,Potent,Zeal,Wrath,FALSE
Fire,Light,Potent,Wrath,FALSE
Adept,Fire,Zeal,Wrath,FALSE
Fire,Light,Zeal,Wrath,FALSE
Dimension,Light,Potent,Wrath,FALSE
Balance,Might,Zeal,Wrath,FALSE
Balance,Potent,Zeal,Wrath,FALSE
Bird,Vast,Wind,Ziz,FALSE
